Order,Artist(s),Album,Type,Release Date,Cover Art,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
113,"Tyler, The Creator",Cherry Bomb,album,2015-04-13,https://i.scdn.co/image/ab67616d0000b273e4bf0d3d9e0224a30ca5f665,72,0.06401,0.46577,0.73985,0.07432,0.32685,-5.54669,0.13878,109.49631,0.339
114,Kanye West,Graduation,album,2007-09-11,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,88,0.11667,0.57586,0.62293,4e-05,0.29923,-7.31271,0.18546,100.12929,0.51929
115,Tee Grizzley,The Smartest,album,2020-06-19,https://i.scdn.co/image/ab67616d0000b27392ef9f9e9d6c062260c40191,55,0.24487,0.78071,0.74029,0.00186,0.16886,-5.02418,0.28641,111.65547,0.48753
116,Future,High Off Life,album,2020-05-15,https://i.scdn.co/image/ab67616d0000b273935d8d5369bc55e74a39303e,75,0.11076,0.82652,0.56919,0.00011,0.1475,-7.65095,0.2827,126.7039,0.39457
117,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],album,1993-11-09,https://i.scdn.co/image/ab67616d0000b2735901aaa980d3e714bf01171c,76,0.29822,0.80287,0.5136,0.00166,0.34208,-10.7514,0.415,101.47833,0.54653
118,Post Malone,beerbongs & bentleys,album,2018-04-27,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,87,0.34767,0.65372,0.63172,0.03462,0.15216,-5.65056,0.07289,136.37078,0.34356
119,Future,I NEVER LIKED YOU,album,2022-04-29,https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214,84,0.09594,0.74881,0.58906,3e-05,0.16491,-6.17544,0.24151,124.10819,0.33913
120,Rhye,Woman,album,2013-01-01,https://i.scdn.co/image/ab67616d0000b27305b6b2b5f66c4bcabca56729,24,0.7424,0.6196,0.4153,0.22206,0.16107,-11.7205,0.04082,104.9233,0.46379
121,Terror Jr,Bop City 2: TerroRising,album,2017-06-16,https://i.scdn.co/image/ab67616d0000b2737972223c82ae1938c8309cea,36,0.36682,0.72038,0.49615,0.00846,0.20802,-8.66292,0.08384,123.30154,0.38144
122,King Princess,Cheap Queen,album,2019-10-25,https://i.scdn.co/image/ab67616d0000b2734746c0bdc8a4d00019f8c8d4,55,0.46446,0.56215,0.60177,0.01106,0.14825,-6.11177,0.0847,124.77515,0.45569
123,KILLY,Surrender Your Soul,album,2018-03-06,https://i.scdn.co/image/ab67616d0000b2737f0bb63e21c5c86cef16aa19,54,0.23593,0.68809,0.50582,0.0004,0.09874,-8.51618,0.14031,139.54736,0.29221
